Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2009-06-30,12.57,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2009-09-30,0.87,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2009-12-31,17.71,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2010-03-31,-5.24,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2010-06-30,-1,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2010-09-30,14.12,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2010-12-31,5.4,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2011-03-31,8.43,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2011-06-30,7.79,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2011-09-30,4.69,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2011-12-30,3.42,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2012-03-30,7.74,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2012-06-29,16.78,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2012-09-28,-1.96,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2012-12-31,-0.12,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2013-03-29,2.97,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2013-06-28,3.1,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2013-09-30,12.04,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2013-12-31,7.72,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2014-03-31,6.06,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2014-06-30,-1.84,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2014-09-30,1.17,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2014-12-31,0.87,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2015-03-31,2.91,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2015-06-30,2.61,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2015-09-30,7.09,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2015-12-31,7.12,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2016-03-31,3.43,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2016-06-30,6.23,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2016-09-30,-2.95,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2016-12-30,-4.05,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2017-03-31,2.67,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2017-06-30,-1.93,Kuartalan,% YoY
Pertumbuhan PDB berdasarkan Pengeluaran,Pemerintah,2017-09-29,3.46,Kuartalan,% YoY
